,title,opening_date,sales,attendance,screen,show_count
80,도가니,2011-09-22,"35,567,476,000","4,662,926",756,"88,345"
81,내 아내의 모든 것,2012-05-17,"34,224,467,500","4,598,985",563,"91,777"
82,판도라,2016-12-07,"36,069,197,064","4,585,116","1,184","100,273"
83,나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124","4,573,902","1,511","113,938"
84,가문의 위기(가문의 영광2),2005-09-07,"28,622,355,500","4,529,876",351,"61,009"
85,연가시,2012-07-05,"32,176,550,664","4,516,063",759,"71,932"
86,강철비,2017-12-14,"35,490,646,466","4,452,900","1,426","80,360"
87,다만 악에서 구하소서,2020-08-05,"38,602,897,990","4,357,873","1,998","193,850"
88,헌트,2022-08-10,"44,600,858,153","4,352,390","1,625","170,963"
89,강철중: 공공의 적 1-1,2008-06-19,"28,638,465,100","4,313,102",707,"74,158"
90,아가씨,2016-06-01,"35,221,312,991","4,289,008","1,171","90,393"
91,말아톤,2005-01-27,"26,285,057,000","4,196,859",238,"59,495"
92,용의자,2013-12-24,"30,037,521,000","4,131,338",807,"69,124"
93,건축학개론,2012-03-22,"30,245,742,400","4,114,167",593,"106,701"
94,댄싱퀸,2012-01-18,"30,130,775,500","4,058,225",544,"80,987"
95,7급 공무원,2009-04-22,"26,380,710,000","4,039,891",475,"90,779"
96,우리 생애 최고의 순간,2008-01-10,"26,119,898,000","4,018,872",418,"70,724"
97,꾼,2017-11-22,"31,313,568,795","4,018,341","1,314","117,419"
98,타짜-신의 손,2014-09-03,"32,373,120,927","4,015,361",890,"80,584"
99,박수건달,2013-01-09,"28,379,548,569","3,897,969",603,"60,604"
100,조선명탐정 : 사라진 놉의 딸,2015-02-11,"30,456,879,428","3,872,015",825,"80,499"
101,역린,2014-04-30,"29,895,031,890","3,849,700","1,054","83,304"
102,남한산성,2017-10-03,"31,225,419,792","3,849,129","1,229","71,102"
103,반도,2020-07-15,"33,078,694,380","3,812,954","2,575","199,267"
104,암수살인,2018-10-03,"32,998,321,048","3,789,553","1,177","126,129"
105,국가부도의 날,2018-11-28,"30,895,057,837","3,755,469","1,180","101,172"
106,쌍화점,2008-12-30,"25,411,823,400","3,749,034",532,"72,498"
107,신기전,2008-09-04,"24,326,406,000","3,728,439",585,"78,464"
108,82년생 김지영,2019-10-23,"30,306,859,310","3,679,162","1,486","145,464"
109,모가디슈,2021-07-28,"34,601,724,626","3,619,202","1,688","212,055"
110,귀향,2016-02-24,"27,250,331,990","3,587,256",876,"90,290"
111,신의 한 수,2014-07-03,"28,812,027,456","3,566,852",794,"77,110"
112,태풍,2005-12-14,"22,209,675,300","3,471,150",481,"47,155"
113,부러진 화살,2012-01-18,"25,938,096,000","3,460,212",530,"71,607"
114,끝까지 간다,2014-05-29,"27,007,718,900","3,450,388",645,"84,904"
115,스파이,2013-09-05,"24,513,098,305","3,436,092",785,"72,805"
116,그것만이 내 세상,2018-01-17,"27,459,360,382","3,420,494",956,"95,445"
117,돈,2019-03-20,"28,870,244,062","3,389,125","1,431","120,809"
118,악인전,2019-05-15,"29,135,221,150","3,364,924","1,307","97,379"
119,이끼,2010-07-14,"25,437,344,000","3,350,311",740,"58,200"
120,한반도,2006-07-13,"20,597,497,600","3,331,593",483,"49,539"
121,포화속으로,2010-06-16,"23,831,968,600","3,330,326",742,"80,093"
122,올빼미,2022-11-23,"32,787,033,384","3,321,661","1,541","148,591"
123,시동,2019-12-18,"28,114,552,860","3,318,676","1,515","93,463"
124,아이 캔 스피크,2017-09-21,"25,554,812,986","3,283,957","1,140","93,088"
125,마녀,2018-06-27,"27,242,029,463","3,189,091","1,117","90,843"
126,탐정: 리턴즈,2018-06-13,"26,909,514,678","3,152,895","1,137","107,909"
127,공공의 적 2,2005-01-27,"20,091,142,000","3,134,424",299,"40,643"
128,퀵,2011-07-20,"22,960,890,000","3,125,069",514,"60,714"
129,친절한 금자씨,2005-07-29,"20,505,804,993","3,122,289",386,"41,581"
130,감기,2013-08-14,"21,774,884,000","3,117,859",806,"55,046"
131,스물,2015-03-25,"23,563,705,686","3,044,859",926,"100,167"
132,거북이 달린다,2009-06-11,"20,618,276,000","3,024,666",432,"69,946"
133,헬로우 고스트,2010-12-22,"22,057,866,500","3,019,960",472,"57,579"
134,하모니,2010-01-28,"21,641,865,000","3,018,154",384,"77,732"
135,오싹한 연애,2011-12-01,"22,011,287,000","3,009,406",544,"62,079"
136,방자전,2010-06-02,"22,490,392,000","2,985,556",495,"67,573"
137,형,2016-11-23,"23,133,206,693","2,982,514",993,"83,599"
138,마더,2009-05-28,"19,990,109,800","2,982,025",642,"71,517"
139,그놈 목소리,2007-02-01,"17,598,617,600","2,972,299",498,"48,673"
140,친구 2,2013-11-14,"21,804,687,513","2,971,475",968,"69,865"
141,식객,2007-11-01,"18,984,554,500","2,965,364",406,"67,344"
142,26년,2012-11-29,"21,242,367,145","2,963,652",611,"50,679"
143,고지전,2011-07-20,"21,968,680,600","2,945,151",585,"53,745"
144,워낭소리,2009-01-15,"19,078,009,900","2,934,996",274,"63,354"
145,프리즌,2017-03-23,"23,791,396,987","2,931,953","1,047","89,025"
146,가장 보통의 연애,2019-10-02,"24,885,803,430","2,924,563","1,073","111,527"
147,말모이,2019-01-09,"23,993,270,520","2,866,995","1,203","87,851"
148,극비수사,2015-06-18,"22,389,535,897","2,860,786",894,"66,211"
149,표적,2014-04-30,"22,256,881,300","2,841,884",716,"72,256"
150,너의 결혼식,2018-08-22,"23,677,144,369","2,821,044",970,"98,197"
151,마녀(魔女) Part2. The Other One,2022-06-15,"28,922,488,670","2,806,501","1,796","94,940"
152,내가 살인범이다,2012-11-08,"20,392,518,000","2,729,827",547,"58,415"
153,부당거래,2010-10-28,"21,011,233,100","2,725,860",502,"70,319"
154,소원,2013-10-02,"18,530,314,600","2,711,144",651,"72,340"
155,너는 내 운명,2005-09-23,"17,656,835,000","2,701,974",306,"46,699"
156,시라노; 연애조작단,2010-09-16,"19,838,533,000","2,684,807",415,"77,741"
157,곤지암,2018-03-28,"21,447,014,144","2,676,427","1,124","88,766"
158,영웅,2022-12-21,"26,171,503,377","2,659,493","1,314","95,672"
159,살인자의 기억법,2017-09-06,"21,375,287,492","2,658,589","1,064","88,686"
160,마파도,2005-03-10,"16,751,202,503","2,636,857",178,"49,473"
161,후궁 : 제왕의 첩,2012-06-06,"19,330,736,000","2,636,385",624,"69,119"
162,탐정 : 더 비기닝,2015-09-24,"20,463,956,973","2,625,686",764,"54,995"
163,지금 만나러 갑니다,2018-03-14,"20,800,916,128","2,602,273","1,191","97,482"
164,가문의 부활 - 가문의 영광3,2006-09-21,"15,996,330,400","2,598,859",444,"51,434"
165,위험한 상견례,2011-03-31,"19,174,920,500","2,595,625",524,"75,068"
166,아수라,2016-09-28,"20,584,142,662","2,594,874","1,278","68,070"
167,보안관,2017-05-03,"20,844,488,409","2,588,628","1,091","63,709"
168,기술자들,2014-12-24,"19,894,297,783","2,564,340",641,"43,224"
169,굿모닝 프레지던트,2009-10-22,"18,567,863,300","2,554,960",586,"69,955"
170,태극기 휘날리며,2004-02-05,"15,751,201,200","2,553,338",115,"23,960"
171,라스트 갓파더,2010-12-29,"18,511,991,000","2,541,603",547,"46,450"
172,증인,2019-02-13,"20,489,940,331","2,535,695","1,047","89,584"
173,1번가의 기적,2007-02-14,"15,494,122,100","2,535,450",340,"54,566"
174,목격자,2018-08-15,"21,737,061,097","2,524,720","1,021","71,403"
175,조작된 도시,2017-02-09,"20,145,472,587","2,515,650","1,019","62,243"
176,블랙머니,2019-11-13,"20,872,311,010","2,480,258","1,141","77,512"
177,반창꼬,2012-12-19,"17,911,274,787","2,475,797",466,"46,879"
178,우리들의 행복한 시간,2006-09-14,"14,938,924,000","2,472,160",414,"47,315"
179,조선명탐정: 흡혈괴마의 비밀,2018-02-08,"19,822,789,764","2,444,136","1,249","74,953"
180,화차,2012-03-08,"18,463,007,000","2,436,884",548,"62,653"
181,이웃사람,2012-08-22,"18,089,332,369","2,434,435",600,"56,755"
182,재심,2017-02-15,"19,266,319,637","2,421,197",935,"68,402"
183,히트맨,2020-01-22,"20,614,278,000","2,406,232","1,122","87,782"
184,사바하,2019-02-20,"20,008,276,194","2,398,611","1,174","78,098"
185,화이: 괴물을 삼킨 아이,2013-10-09,"17,697,191,795","2,394,603",817,"59,052"
186,의뢰인,2011-09-29,"17,797,131,500","2,393,103",522,"58,416"
187,가문의 영광4 - 가문의 수난,2011-09-07,"17,792,219,500","2,368,267",537,"48,432"
188,블라인드,2011-08-10,"18,390,012,500","2,367,942",404,"49,359"
189,박열,2017-06-28,"18,097,114,795","2,359,800","1,176","78,516"
190,미인도,2008-11-13,"15,655,329,500","2,342,579",450,"69,523"
191,음란서생,2006-02-23,"14,944,551,700","2,304,368",347,"38,967"
192,내 생애 가장 아름다운 일주일,2005-10-07,"14,710,619,000","2,290,717",296,"41,059"
193,하녀,2010-05-13,"17,038,860,500","2,267,581",555,"59,627"
194,황해,2010-12-22,"17,497,165,500","2,260,512",618,"42,102"
195,7광구,2011-08-04,"19,391,653,500","2,242,510",812,"47,346"
196,타짜: 원 아이드 잭,2019-09-11,"19,687,491,214","2,229,281","1,429","66,480"
197,박쥐,2009-04-30,"14,890,922,000","2,211,142",499,"45,681"
198,마당을 나온 암탉,2011-07-28,"14,685,443,500","2,204,573",363,"39,532"
199,싱크홀,2021-08-11,"21,395,652,690","2,195,683","1,603","121,843"
