,genre,runtime,content_rating,director,actor
49," 전쟁, 드라마 ", 133분 0초 , 12세관람가 ,박광현,"신하균, 정재영, 강혜정, 리민"
50, 사극 , 125분 24초 , 12세이상관람가 ,이준익,"송강호, 유아인, 문근영"
51," 액션, 드라마 ", 119분 0초 , 청소년관람불가 ,이정범,"원빈, 김새론"
52," 멜로/로맨스, 코미디 ", 120분 0초 , 12세이상관람가 ,김용화,"김아중, 주진모"
53," 액션, 코미디, 판타지 ", 136분 0초 , 12세이상관람가 ,최동훈,"강동원, 임수정, 김윤석, 유해진, 김시권, 주진모, 선우선"
54, 드라마 , 130분 0초 , 12세이상관람가 ,김학순,"김무열, 진구, 이현우, 이완"
55, 드라마 , 139분 0초 , 18세관람가 ,최동훈,"조승우, 김혜수, 백윤식, 유해진, 이수경"
56, 액션 , 108분 33초 , 15세이상관람가 ,김주환,"박서준, 강하늘, 성동일, 박하선"
57, 스릴러 , 107분 17초 , 15세이상관람가 ,허정,"손현주, 문정희, 전미선"
58," 사극, 드라마 ", 126분 57초 , 12세이상관람가 ,허진호,"손예진, 박해일"
59," 범죄, 기타 ", 97분 50초 , 15세이상관람가 ,김병우,"하정우, 이경영, 전혜진, 이다윗"
60," 범죄, 액션 ", 118분 41초 , 15세이상관람가 ,조의석,"설경구, 정우성, 한효주, 진경, 이준호"
61," 미스터리, 드라마 ", 108분 16초 , 15세이상관람가 ,장재현,"김윤석, 강동원"
62," 사극, 액션 ", 135분 29초 , 12세이상관람가 ,김광식,"조인성, 남주혁, 박성웅, 김동진"
63," 드라마, 액션 ", 116분 0초 , 15세이상관람가 ,장훈,"송강호, 강동원"
64," 범죄, 드라마 ", 134분 27초 , 15세이상관람가 ,한재림,"조인성, 정우성, 배성우, 류준열, 김의성, 이석호"
65, 드라마 , 107분 0초 , 12세이상관람가 ,이한,"김윤석, 유아인"
66," 드라마, 코미디 ", 115분 54초 , 15세이상관람가 ,이재규,"유해진, 조진웅, 이서진, 염정아, 김지수, 송하윤, 윤경호"
67, 드라마 , 121분 0초 , 12세이상관람가 ,김지훈,"설경구, 손예진, 김상경, 차인표, 조민아"
68, 코미디 , 125분 0초 , 15세관람가 ,김동원,"정준호, 정웅인, 김상중"
69," 범죄, 액션 ", 123분 20초 , 15세이상관람가 ,이해영,"조진웅, 류준열, 김주혁, 김성령, 박해준, 차승원, 진서연"
70," 범죄, 스릴러, 액션 ", 123분 0초 , 청소년관람불가 ,나홍진,"김윤석, 하정우"
71, 드라마 , 137분 6초 , 12세이상관람가 ,윤종빈,"황정민, 이성민, 조진웅, 주지훈"
72," 코미디, 사극 ", 121분 0초 , 12세이상관람가 ,김주호,"차태현, 오지호, 민효린, 성동일, 고창석, 송종호, 이채영, 김길동, 김향기"
73, 다큐멘터리 , 85분 37초 , 전체관람가 ,진모영,"조병만, 강계열"
74," 사극, 액션, 드라마 ", 134분 31초 , 15세이상관람가 ,원신연,"유해진, 류준열, 조우진"
75," 코미디, 액션 ", 115분 0초 , 12세이상관람가 ,김석윤,"김명민, 한지민, 오달수"
76," 사극, 액션 ", 137분 28초 , 15세이상관람가 ,윤종빈,"하정우, 강동원, 조진웅, 마동석, 정만식, 김성균, 주진모, 이경영"
77, 드라마 , 113분 38초 , 15세이상관람가 ,우민호,"이병헌, 이성민, 곽도원, 이희준, 김소진"
78," 범죄, 드라마 ", 133분 0초 , 청소년관람불가 ,윤종빈,"최민식, 하정우"
79," 범죄, 액션 ", 134분 0초 , 청소년관람불가 ,박훈정,"이정재, 최민식, 황정민"
80, 드라마 , 125분 0초 , 청소년관람불가 ,황동혁,"정유미, 공유"
81," 코미디, 멜로/로맨스 ", 121분 0초 , 15세이상관람가 ,민규동,"임수정, 이선균, 류승룡"
82," 드라마, 스릴러 ", 135분 40초 , 12세이상관람가 ,박정우,"김남길, 김영애, 문정희, 정진영, 이경영, 강신일, 김대명, 유승목, 김주현, 김명민"
83," 범죄, 액션 ", 114분 52초 , 15세이상관람가 ,손용호,"마동석, 김상중, 김아중, 장기용"
84, 코미디 , 115분 0초 , 15세관람가 ,정용기,"신현준, 김수미, 김원희, 정준하"
85," 공포(호러), SF ", 109분 0초 , 15세이상관람가 ,박정우,"김명민, 문정희, 김동완, 이하늬"
86," 액션, 드라마 ", 139분 36초 , 15세이상관람가 ,양우석,"정우성, 곽도원"
87," 범죄, 액션 ", 107분 49초 , 15세이상관람가 ,홍원찬,"황정민, 이정재, 박정민, 박소이"
88," 액션, 드라마 ", 125분 15초 , 15세이상관람가 ,이정재,"이정재, 정우성, 전혜진, 허성태, 고윤정, 김종수, 정만식"
89," 드라마, 액션 ", 127분 0초 , 15세이상관람가 ,강우석,"설경구, 정재영, 김영필"
90," 스릴러, 드라마 ", 144분 44초 , 청소년관람불가 ,박찬욱,"김민희, 김태리, 하정우, 조진웅"
91, 드라마 , 117분 0초 , 전체관람가 ,정윤철,"조승우, 김미숙"
92," 액션, 스릴러 ", 137분 32초 , 15세이상관람가 ,원신연,"공유, 박희순, 조성하, 유다인, 김성균, 조재윤"
93," 멜로/로맨스, 드라마 ", 118분 0초 , 12세이상관람가 ,이용주,"엄태웅, 한가인, 이제훈, 배수지"
